date,erg_in_contract,sigusd_circulating,erg_price,reserves_usd,reserve_ratio,mint_available,redeem_available
2021-10-15,1333805.302985803,1928242.52,10.503598790675914,14009755.767438801,7.265556911087512,True,True
2021-10-16,1343380.167181443,1926005.93,10.401298736709055,13972898.435824342,7.254857432253255,True,True
2021-10-17,1343447.003232404,1925831.41,10.53603440254835,14154603.84405709,7.349866541047376,True,True
2021-10-18,1343396.089418875,1925364.37,10.25345234151775,13774447.778637754,7.154203117739087,True,True
2021-10-19,1343453.095587038,1925003.36,10.094031782161608,13560858.244698958,7.04458938954733,True,True
2021-10-20,1359174.765660722,2025003.36,10.001978947975797,13594437.39275848,6.713291277086315,True,True
2021-10-21,1558270.60092514,3844213.8,9.793332505214654,15260662.127960546,3.969774555192676,False,True
2021-10-22,1366025.666064774,2015647.87,9.554617747727796,13051853.072834173,6.475264487955514,True,True
2021-10-23,1365933.196320559,2013019.19,9.408929850456884,12851969.62459049,6.3844247925875415,True,True
2021-10-24,1371551.160497325,2061510.18,9.40743403521024,12902777.068294639,6.258895635574615,True,True
2021-10-26,1372720.990434298,2058871.85,8.76759346906382,12035459.590578571,5.8456574607004175,True,True
2021-10-27,1376521.21549488,2059587.58,9.091667572698912,12514873.29804689,6.0763977310675426,True,True
2021-10-28,1371975.751252741,2017498.42,8.076027655147708,11080114.10930919,5.492006337883125,True,True
2021-10-29,1372456.199997877,2020306.64,9.299830447735442,12763609.956923539,6.317659757294833,True,True
2021-10-30,1365330.728408378,2027362.89,10.288271031326676,14046892.581264066,6.928652315059425,True,True
2021-10-31,1365440.489206845,2026259.42,9.715487985342955,13265920.667589908,6.547000120838382,True,True
2021-11-01,1364626.569038505,2019714.14,9.290035530999578,12677429.31291376,6.276843371960431,True,True
2021-11-02,1464052.582143637,2018379.89,9.065579728963796,13272485.410818458,6.575811360674257,True,True
2021-11-03,1466667.110363843,2017879.89,9.181660959533836,13466440.147860002,6.6735588250795255,True,True
2021-11-04,1466652.103184086,2015990.11,9.094068877459682,13337835.245627183,6.6160221617491874,True,True
2021-11-05,1465810.48538427,2015118.36,8.746148766975974,12820196.569364088,6.362006730643895,True,True
2021-11-06,1465864.160556543,2016750.14,8.680957966390952,12725105.162230307,6.309708332153782,True,True
2021-11-07,1465889.725267818,2015320.91,9.472483656191462,13885616.464378398,6.890027486678734,True,True
2021-11-08,1466688.585657514,2022391.2,9.443237777266605,13850289.059566762,6.848471779132921,True,True
2021-11-09,1465295.322400292,2007730.64,9.98788267382636,14635197.762640687,7.289422929084096,True,True
2021-11-10,1466089.731081522,2015932.45,10.284237788003775,15077615.412992882,7.479226505329026,True,True
2021-11-11,1457954.409977005,2016259.75,9.744592525918652,14207171.646592062,7.046300282784528,True,True
2021-11-12,1458059.430750258,2016309.75,9.79927713960832,14287928.447941324,7.086177333587423,True,True
2021-11-13,1458509.470044573,2019248.59,9.653396197570151,14079569.772248339,6.972677778246381,True,True
2021-11-14,1463063.054590987,2061471.91,9.518646993606556,13926380.746039324,6.755552029830629,True,True
2021-11-15,1465490.47110983,2078836.95,9.479272849396402,13891784.033840554,6.682478889862216,True,True
2021-11-16,1470865.864068848,2128119.6,9.30046001845657,13679729.1612849,6.428082877148868,True,True
2021-11-17,1476930.087747841,2127466.93,8.865365082497503,13093524.429209681,6.154513729249686,True,True
2021-11-18,1478361.793562276,2136412.65,8.849871062063922,13083311.256107705,6.123962641818146,True,True
2021-11-19,1485844.99636515,2195508.57,8.343730644942964,12397490.429807069,5.646751098679187,True,True
2021-11-20,1488320.914156401,2234527.57,8.580541251235207,12770598.998995094,5.715122592555479,True,True
2021-11-21,1489118.675898187,2237484.23,8.764541931350038,13051443.07566611,5.833088296522255,True,True
2021-11-22,1489628.423797262,2235513.28,8.682211100620528,12933268.436892446,5.785368645581228,True,True
2021-11-23,1492573.124243191,2256009.46,7.67968280452839,11462488.15675165,5.080868834987797,True,True
2021-11-24,1493316.960670378,2256231.45,7.954737092493745,11878943.817894679,5.264949133607138,True,True
2021-11-25,1488866.457617989,2254249.98,7.645201173850043,11382683.589487005,5.049432711755865,True,True
2021-11-26,1464932.085991706,2269156.44,7.691525147816033,11267561.979247805,4.965528943102664,True,True
2021-11-27,1456203.208731322,2271667.41,7.093652515052381,10329799.55404429,4.547232358298563,True,True
2021-11-28,1459647.820203311,2270167.41,7.032117923883021,10264415.599008486,4.521435535456165,True,True
2021-11-29,1438846.877571223,2184165.67,7.384660113041035,10625395.145573849,4.8647386466677,True,True
2021-11-30,1434505.52522951,2183461.42,7.546805571930935,10825934.290767778,4.958152313388609,True,True
2021-12-01,1433197.816517969,2180047.14,7.019066735828203,10059711.119782887,4.614446603105512,True,True
2021-12-02,1415734.332292058,2055675.66,6.779264530645873,9597637.543725168,4.668848170204617,True,True
2021-12-03,1416506.258831856,2051903.22,7.17741656521825,10166855.486875094,4.9548416259491495,True,True
2021-12-04,1519158.110875666,2134668.95,6.82050464062596,10361424.945072046,4.853879073414191,True,True
2021-12-05,1518821.771913964,2127000.4,6.2933161766987125,9558425.626708353,4.49385229391981,True,True
2021-12-06,1520498.775858502,2126136.8,5.865981297380599,8919217.381876068,4.195034572505433,True,True
2021-12-07,1340079.570725062,1010202.19,6.104816828225123,8180940.314523056,8.098319718078473,True,True
2021-12-08,1339648.671080562,1009398.32,6.384040707472138,8552371.64988926,8.472742108278188,True,True
2021-12-09,1338809.597578935,1007648.8,6.080659349927836,8140845.097291475,8.079050059198677,True,True
2021-12-10,1411603.452070349,1404407.81,5.729316072018085,8087522.34526286,5.758670870153349,True,True
2021-12-11,1412982.872440453,1406769.15,5.162140247894416,7294015.755410324,5.184941506152821,True,True
2021-12-12,1413053.7352075,1405775.88,5.490276301885354,7758055.435700319,5.518700061705654,True,True
2021-12-13,1391018.093850629,1455406.73,5.787733718094058,8050842.32425821,5.531678642339527,True,True
2021-12-14,1392402.820393804,1451612.81,5.310924057127887,7394945.636042175,5.094296209773854,True,True
2021-12-15,1393339.516786217,1452181.18,5.537329835444173,7715380.477203687,5.31295996908849,True,True
2021-12-16,1390572.137179659,1437909.75,5.515659342155053,7669922.199375504,5.3340776077048675,True,True
2021-12-17,1390364.379967932,1443379.84,5.257441892423889,7309759.936977371,5.064335620052287,True,True
2021-12-18,1396355.448146196,1473499.84,5.226682341128704,7298306.362764581,4.9530418427222775,True,True
2021-12-19,1397285.422766991,1474549.84,5.138983592625642,7180626.861814551,4.8697078030367225,True,True
2021-12-20,1395296.898040495,1473683.78,5.121011136390511,7145330.953436511,4.848618849178425,True,True
2021-12-21,1393427.200912821,1458348.87,5.007586789834512,6977707.643887124,4.784662838520335,True,True
2021-12-22,1384777.594199141,1439809.42,5.177802186731285,7170104.455380801,4.979898280829974,True,True
2021-12-23,1386037.195237185,1439875.13,5.148777779068645,7136397.511799848,4.956261388999648,True,True
2021-12-24,1389140.952261232,1442019.43,5.304653817546186,7368911.855522289,5.110133540657139,True,True
2021-12-25,1395271.24698202,1437876.1,5.550980961981767,7745124.128797754,5.386503140846248,True,True
2021-12-27,1396014.255711904,1436874.03,5.316158268472419,7421432.728408209,5.164984941935521,True,True
2021-12-28,1398603.592210639,1450050.35,5.394129477816052,7544248.864522829,5.202749590400656,True,True
2021-12-29,1389269.898128258,1442140.52,5.103613707860035,7090296.896004692,4.916509034781639,True,True
2021-12-30,1390956.621756017,1447140.52,4.933817518706508,6862726.148180659,4.7422665963224215,True,True
