date,erg_price,strategy,regime,sigmausd_ratio,erg_reserves,sigusd_reserves,total_usd,reserve_ratio,interventions,accum_path,window
2025-04-12,0.7852736827659009,B_70_30,uip001,4.305826886363442,4617.923121296075,9343.033449457236,12969.366945647209,0.1296936694564721,0,none,hypothetical_full
2025-04-13,0.839027335335021,B_70_30,uip001,4.5293918927356716,4617.9693005272875,9343.033449457236,13217.635926337578,0.1321763592633758,0,none,hypothetical_full
2025-04-14,0.8172731069423391,B_70_30,uip001,4.413970210158768,4618.015480220292,9320.388596749199,13094.568456176656,0.13094568456176656,1,none,hypothetical_full
2025-04-15,0.7979547820167112,B_70_30,uip001,4.3087679750563375,4618.061660375095,9298.278791533985,12983.283177078325,0.12983283177078325,1,none,hypothetical_full
2025-04-16,0.7806273322259484,B_70_30,uip001,4.252024813145339,4618.107840991699,9276.648880610024,12881.670084455109,0.12881670084455107,1,none,hypothetical_full
2025-04-17,0.7676885426372904,B_70_30,uip001,4.189654990891728,4618.154022070109,9276.648880610024,12821.952811487567,0.12821952811487566,0,none,hypothetical_full
2025-04-18,0.7777993942314256,B_70_30,uip001,4.254649337837178,4618.2002036103295,9276.648880610024,12868.682201417585,0.12868682201417586,0,none,hypothetical_full
2025-04-19,0.7593304528868507,B_70_30,uip001,4.162019183766063,4618.246385612366,9255.608440297246,12762.383559827345,0.12762383559827345,1,none,hypothetical_full
2025-04-20,0.7456229534906973,B_70_30,uip001,4.099001858502258,4618.292568076222,9255.608440297246,12699.113384990376,0.12699113384990376,0,none,hypothetical_full
2025-04-21,0.7424180431560773,B_70_30,uip001,4.080346194262478,4618.338751001903,9255.608440297246,12684.34645844796,0.12684346458447962,0,none,hypothetical_full
2025-04-22,0.7637169148141942,B_70_30,uip001,4.197069328105413,4618.384934389413,9255.608440297246,12782.747133813484,0.12782747133813482,0,none,hypothetical_full
2025-04-23,0.7984394640569633,B_70_30,uip001,4.39614787566597,4618.431118238756,9255.608440297246,12943.1461071278,0.129431461071278,0,none,hypothetical_full
2025-04-24,0.8147952814583107,B_70_30,uip001,4.071082161503226,4618.477302549939,9255.608440297246,13018.721953937244,0.13018721953937243,0,none,hypothetical_full
2025-04-25,0.8199384743430634,B_70_30,uip001,4.097498184665375,4618.523487322965,9255.608440297246,13042.513542210443,0.13042513542210443,0,none,hypothetical_full
2025-04-26,0.8091208708881009,B_70_30,uip001,3.9996207939367796,4618.569672557838,9255.608440297246,12992.589556014616,0.12992589556014617,0,none,hypothetical_full
2025-04-27,0.7999223707626627,B_70_30,uip001,3.9996207939367796,4618.615858254564,9255.608440297246,12950.142587274267,0.1295014258727427,0,none,hypothetical_full
2025-04-28,0.7949056785250956,B_70_30,uip001,3.9755551636481505,4618.662044413147,9255.608440297246,12927.009126589584,0.12927009126589584,0,none,hypothetical_full
2025-04-29,0.7942046182858221,B_70_30,uip001,3.975041971437719,4618.708231033591,9255.608440297246,12923.807847898865,0.12923807847898863,0,none,hypothetical_full
2025-04-30,0.7918908369474922,B_70_30,uip001,3.964956940437839,4618.754418115901,9255.608440297246,12913.157742113974,0.12913157742113973,0,none,hypothetical_full
2025-05-01,0.7610660045810993,B_70_30,uip001,3.8444792819359153,4618.8006056600825,9234.517378470426,12749.729501376907,0.12749729501376908,1,none,hypothetical_full
