height,erg_balance_nano
1651083,1789404319734995
1650731,1791033168208348
1650288,1790727148459108
1650279,1790127757663726
1650243,1795331013567726
1650163,1793366349875226
1650135,1793513203179085
1650051,1791540258871585
1650041,1786753189669585
1649953,1783564020541585
1649951,1780520730197905
1649948,1779205141143085
1649947,1775566359544285
1649945,1771611162154285
1649941,1767655964764285
1649936,1763720053279285
1649936,1763720053279285
1649935,1760567789008129
1649920,1755844116274129
1649901,1755878159720006
1649893,1755916214160636
1649819,1755952265238258
1649809,1757571583036258
1649806,1757611643585626
1649804,1757572891465820
1649802,1757534139346014
1649798,1757124108721717
1649794,1757097590758413
1649793,1755363591690632
1649790,1755449865072576
1649790,1755449865072576
1649208,1753010035457695
1649205,1753037937457532
1649203,1753063980519100
1649199,1753258604764572
1649198,1760110942603695
1649190,1765398201898919
1649188,1765198643310297
1649176,1764999084562107
1649151,1764280831162107
1649148,1759264898746107
1649138,1758694910506107
1649138,1758694910506107
1649136,1758665278124467
1649114,1758636718315372
1649082,1758589798443979
1649073,1758540838489745
1649065,1758504118515036
1649055,1758455158590986
1649041,1758410278875435
1649013,1758375598974645
1648966,1756916891874645
1648954,1756872012164293
1648726,1756833252449200
1648612,1756790412519100
1648479,1756814446688233
1648473,1756880574648265
1648425,1756914626435502
1648424,1756815244081086
1648424,1756815244081086
1648420,1757227674582171
1648297,1757281764843099
1648295,1757580587506944
1648291,1757602681411752
1648289,1757630751981116
1648289,1757630751981116
1648288,1758486748591386
1648286,1758894810215937
1648283,1758946923260245
1648274,1759238057104931
1648272,1759270104761572
1648271,1759290138831419
1648206,1759561138614555
1648204,1759411470191465
1648170,1759311692136063
1648131,1759403833143221
1648129,1759654161784784
1648127,1759680197996300
1648126,1759710247496682
1648124,1759734293785802
1648122,1759786416374944
1648120,1759820485458450
1648101,1759968925741856
1648094,1760023008248971
1648062,1760047042898598
1648054,1760271226966158
1648053,1760301264770511
1648050,1760357361862084
1648047,1760379404333342
1647946,1760670414673805
1647902,1760900640718530
1647830,1760960732966589
1647827,1761010820836881
1647814,1761058925188807
1647803,1761092957938275
1647792,1761473937725179
1647708,1761712197541155
1647680,1761882359967400
1647676,1761930438396786
1647675,1761956472173907
1647674,1761986518555393
1647672,1762010562080749
1647664,1762042611297092
1647643,1762100710527119
1646623,1762373326144625
1646031,1762371688613777
1645941,1762271910457036
1645938,1762609011455793
1645936,1762643060370137
1645929,1762998373209887
1645731,1763389465594957
1645729,1763299705875349
1645728,1763209946155741
1645727,1763120186436133
1645723,1762846826565496
1645722,1762820315496877
1645699,1762793804428258
1645691,1762420492908034
1645661,1762189974247396
1645660,1761945179986430
1645658,1761881940092643
1645656,1761818700198856
1645653,1761500460210939
1645651,1761471908156878
1645649,1761443356102817
1645647,1761106763807190
1645646,1761080244349477
1645639,1760702844525190
1645637,1760682450592824
1645507,1760480498117640
1645497,1762147034667640
1645474,1764652617334814
1645468,1762656516085430
1645435,1762615716142130
1645418,1765728990876346
1645413,1767658773163615
1645404,1767626133427377
1645215,1767476278458290
1645128,1767094783158290
1645125,1766713309369147
1645119,1766490952672132
1645117,1766454234290677
1645115,1766417515909222
1645114,1766380797527767
1645113,1766344079146312
1645107,1766036040020033
1645105,1764507929878286
1645103,1762866706630286
1645099,1762784645467886
1645096,1761635181941685
1645094,1761610711303058
1645093,1761586240664431
1645093,1761586240664431
1645091,1760577036077004
1645090,1760552565438377
1644886,1760118051583469
1644882,1764272371938304
1644874,1772412206216902
1644864,1776559563521902
1644859,1781889833707430
1644855,1781840873738755
1644851,1785996308203755
1644847,1786395512481939
1644846,1786352672751158
1644837,1786562987610776
1644711,1786518107632147
1644710,1784612694959347
1644710,1784612694959347
1644704,1780632541940891
1644704,1780632541940891
